Principal Component 0,Principal Component 1,Intensity Group
2.855827637,2.155571949,2
-2.530297219,0.7023371,0
-3.131736983,0.540737789,0
-1.309580515,1.041269878,0
0.716851354,1.570880795,1
-1.271998774,1.042327926,0
0.053138497,1.392163438,0
-2.193649204,0.79852143,1
-2.198369224,0.78890486,2
-2.352468093,0.748615081,0
-0.330815744,1.300892637,3
-1.076261817,1.094528621,0
-1.80475,0.906487291,3
-3.124514731,0.542560285,0
-2.176263736,0.786057561,0
-1.620659716,0.944515971,0
-2.07602967,0.828202077,0
3.658328552,2.410035437,4
-1.892448774,0.884356984,0
-2.23588031,0.778035371,0
-3.000704696,0.573803071,0
0.024095201,1.367983523,0
-0.382035183,1.289371462,0
-2.005431919,0.837591536,0
-2.30810283,0.759810412,0
-0.761577978,1.17393737,0
9.863270933,4.009512157,1
-2.30603933,0.760331125,0
-2.020908174,0.833686187,0
-0.314532682,1.297979851,0
1.184756599,1.707208898,0
-2.460363142,0.712962855,2
-1.808438269,0.897131078,0
-1.10714367,1.076906484,0
-3.074990717,0.555057399,0
-1.117306886,1.09119285,1
0.002582733,1.379405967,2
-0.940438854,1.127399033,0
-2.330208318,0.762657712,1
-2.367944347,0.744709732,2
-0.28129173,1.313389752,0
0.144893617,1.425146611,0
-0.82444409,1.14824418,0
-0.580951021,1.209688327,2
-0.640340831,1.222785671,1
-2.053924183,0.825354778,0
-1.199846909,1.070364325,0
-2.467360451,0.71821885,0
-1.617789409,0.93821855,1
-1.089888359,1.106537264,0
-1.292633779,1.037120795,2
-0.162426658,1.327937478,0
-2.130712436,0.81440318,0
-0.386091528,1.278518596,0
-1.110606997,1.074628762,1
-1.747565002,0.912492115,1
-3.05229221,0.560785244,0
1.116590424,1.699836806,2
-1.043175152,1.093048591,0
-1.958410137,0.857882724,0
-2.699504266,0.659638625,0
-2.248261313,0.774911093,0
-1.610342213,0.947119536,0
-1.370015051,1.017594054,0
-0.050036532,1.366127782,1
-1.578582898,0.948112099,0
-2.392706354,0.738461175,0
0.0439234,1.380008789,1
1.228753786,1.716907577,4
-0.933287258,1.139032969,0
-0.938007278,1.129416399,1
0.170473586,1.447048803,2
-1.998648399,0.847728819,0
-1.112895441,1.067029558,0
